Date,Open,High,Low,Close ,Adj Close ,Volume
12-Aug-21,309.1,341,307.5,330.7,330.7,"7,105,000"
11-Aug-21,315.8,319.1,294,315.5,315.5,"6,968,430"
10-Aug-21,369,371.6,314.4,317.5,317.5,"11,618,150"
9-Aug-21,326.8,353.8,323.5,338,338,"8,105,460"
6-Aug-21,334.2,335.8,315.7,327,327,"5,285,880"
5-Aug-21,310.8,341.2,289.1,335.1,335.1,"10,856,510"
4-Aug-21,344.3,352.4,298.1,298.4,298.4,"8,549,660"
3-Aug-21,351.6,352.1,327.8,335.9,335.9,"6,174,010"
2-Aug-21,375.8,384.8,350.1,352,352,"5,906,170"
30-Jul-21,375.4,391.9,367.9,370.2,370.2,"5,299,620"
29-Jul-21,380,402.5,374.7,381.3,381.3,"5,944,620"
28-Jul-21,374.1,395.6,360.8,389,389,"7,102,140"
27-Jul-21,399.9,403,370.6,380.1,380.1,"5,528,890"
26-Jul-21,383.2,408.5,375.7,402.9,402.9,"9,797,760"
23-Jul-21,377.8,384,346.9,369.9,369.9,"8,547,480"
22-Jul-21,401.6,417.4,371.5,372.4,372.4,"9,398,590"
21-Jul-21,418,465.5,401.1,407.8,407.8,"15,802,370"
20-Jul-21,351.4,443.9,351.3,430.9,430.9,"16,867,340"
19-Jul-21,329.5,353.4,311.5,346.2,346.2,"11,289,130"
16-Jul-21,378.3,385.5,343,349.6,349.6,"12,682,570"
15-Jul-21,322,374,321.4,360,360,"19,958,450"
14-Jul-21,388,391.3,332.4,334.3,334.3,"13,783,070"
13-Jul-21,405.7,421.4,387,393.5,393.5,"8,680,730"
12-Jul-21,442.9,465.5,420.7,426.1,426.1,"6,298,640"
9-Jul-21,483.7,489.2,458.2,461.9,461.9,"5,785,860"
8-Jul-21,409.5,497.9,387.6,479.4,479.4,"14,507,820"
7-Jul-21,477,489.9,428,450.7,450.7,"9,532,020"
6-Jul-21,534.6,550.7,497,499.6,499.6,"6,237,030"
2-Jul-21,527.7,532.5,477.7,519.6,519.6,"9,027,150"
1-Jul-21,568.6,577.1,525.3,542.2,542.2,"5,754,990"
30-Jun-21,560,581.8,546.5,566.8,566.8,"5,902,060"
29-Jun-21,590.6,610,561.8,564.3,564.3,"6,360,410"
28-Jun-21,551,593.6,543.3,581.1,581.1,"9,931,020"
25-Jun-21,557.5,562.9,529.7,540.6,540.6,"7,759,690"
24-Jun-21,579.8,587.6,556.6,567,567,"8,035,120"
23-Jun-21,570.4,611,568,583,583,"11,629,180"
22-Jun-21,541,587.4,510.5,582.7,582.7,"16,949,410"
21-Jun-21,613.4,630.1,534.3,556.9,556.9,"18,587,610"
18-Jun-21,612.6,649.6,568.5,592.6,592.6,"24,364,590"
17-Jun-21,540,638.3,529.8,607.3,607.3,"30,357,600"
16-Jun-21,561.4,573.4,518.6,551.8,551.8,"16,645,070"
15-Jun-21,583.9,647.1,567.3,590.4,590.4,"28,558,210"
14-Jun-21,518.3,605.5,515.2,570,570,"30,146,730"
11-Jun-21,446.8,496,420.1,494,494,"21,800,660"
10-Jun-21,479.3,515,397.1,428.1,428.1,"22,486,060"
9-Jun-21,522,533.9,481.2,493.4,493.4,"15,036,130"
8-Jun-21,571.6,606.2,527.7,550.5,550.5,"21,449,030"
7-Jun-21,523.8,596.8,515,550,550,"34,909,490"
4-Jun-21,487.9,574.8,460.4,479.1,479.1,"33,771,010"
3-Jun-21,581,688,376.6,513.4,513.4,"59,814,220"
2-Jun-21,375.2,726.2,355.9,625.5,625.5,"76,646,250"
1-Jun-21,318.9,335.3,285.3,320.4,320.4,"50,869,460"
28-May-21,318.1,367.2,241.7,261.2,261.2,"66,062,360"
27-May-21,186.1,297.6,183.1,265.2,265.2,"70,554,570"
26-May-21,177.6,199.5,172.6,195.6,195.6,"37,906,410"
25-May-21,136.1,166.7,135.5,164.1,164.1,"21,364,410"
24-May-21,123.8,139.6,121.7,136.8,136.8,"11,331,920"
21-May-21,126.1,128.4,120.5,120.8,120.8,"5,393,770"
20-May-21,125.9,129.9,120.3,125.5,125.5,"6,141,970"
19-May-21,129.5,133.1,121.4,126.4,126.4,"8,902,410"
18-May-21,142.5,146.7,135.7,140.3,140.3,"17,248,840"
17-May-21,136.7,143.8,133.9,139.5,139.5,"15,893,310"
14-May-21,133.1,143.4,125.7,129.8,129.8,"20,758,990"
13-May-21,108.8,142,106.4,127.7,127.7,"29,652,500"
12-May-21,100.3,106.3,100.2,103.2,103.2,"5,442,350"
11-May-21,99.3,104.8,96,100.5,100.5,"4,960,100"
10-May-21,99,101.5,95.6,97.4,97.4,"4,101,530"
7-May-21,93.2,97.9,91.4,95.1,95.1,"3,824,500"
6-May-21,93.3,94,89.3,90,90,"3,958,630"
5-May-21,94.1,95.7,90.8,91.7,91.7,"2,760,870"
4-May-21,96.3,97.5,90.5,93.9,93.9,"3,522,240"
3-May-21,101.1,101.2,96.1,97.1,97.1,"3,125,120"
30-Apr-21,100.7,101.8,98.8,100.3,100.3,"2,774,100"
