Date,Open,High,Low,Close ,Adj Close ,Volume
12-Aug-21,39.97,41.07,39.33,40.59,40.59,"5,271,200"
11-Aug-21,39.61,39.76,38.65,39.69,39.69,"3,781,600"
10-Aug-21,40.34,41.72,38.84,39.76,39.76,"6,493,200"
9-Aug-21,37.95,41.18,37.67,40.28,40.28,"8,996,800"
6-Aug-21,38.65,39.13,37.58,37.94,37.94,"5,410,800"
5-Aug-21,37,39.4,36.31,38.36,38.36,"9,648,400"
4-Aug-21,38.18,39.45,36.42,36.7,36.7,"9,574,000"
3-Aug-21,39.19,39.72,37.05,38.19,38.19,"57,802,400"
2-Aug-21,40.5,40.9,38.76,39.41,39.41,"10,131,600"
30-Jul-21,41.25,41.81,39.72,40.28,40.28,"9,508,400"
29-Jul-21,42.65,43.47,41.13,41.22,41.22,"8,960,000"
28-Jul-21,43.93,44.28,41.07,42.28,42.28,"16,403,200"
27-Jul-21,45.75,46.25,44.17,44.63,44.63,"4,859,200"
26-Jul-21,45.09,46.51,44.69,45.99,45.99,"5,042,400"
23-Jul-21,45.25,45.4,43.46,45.09,45.09,"5,264,800"
22-Jul-21,46.33,46.92,44.04,44.71,44.71,"5,652,000"
21-Jul-21,46.95,48.88,45.53,46.45,46.45,"8,916,800"
20-Jul-21,43.47,48.41,43.1,47.79,47.79,"12,404,400"
19-Jul-21,40.83,44,40.31,43.37,43.37,"9,747,600"
16-Jul-21,42.54,44.87,41.58,42.26,42.26,"13,151,600"
15-Jul-21,40,43,39.5,41.71,41.71,"17,194,400"
14-Jul-21,45.12,45.6,41.27,41.9,41.9,"15,655,200"
13-Jul-21,46.92,47.2,44.75,45.01,45.01,"9,591,600"
12-Jul-21,47.85,49.44,46.85,47.31,47.31,"6,545,200"
9-Jul-21,47.72,48.69,46.69,47.81,47.81,"6,331,600"
8-Jul-21,44.96,48.56,44.88,47.85,47.85,"11,430,000"
7-Jul-21,49,49.38,44.39,47.67,47.67,"16,958,000"
6-Jul-21,51,51.19,48.43,49.89,49.89,"11,072,400"
2-Jul-21,51.2,51.36,49.13,50.71,50.71,"10,396,400"
1-Jul-21,53.35,54.21,50.5,51.09,51.09,"10,968,400"
30-Jun-21,52.42,53.82,51.74,53.53,53.53,"10,158,400"
29-Jun-21,53.4,53.81,52,52.72,52.72,"9,920,000"
28-Jun-21,52.81,56.11,52.55,53.31,53.31,"19,517,600"
25-Jun-21,53.5,53.55,49.63,52.38,52.38,"50,770,800"
24-Jun-21,55.29,56.86,52.9,53.08,53.08,"15,453,200"
23-Jun-21,55.36,55.64,53.53,54.83,54.83,"14,220,400"
22-Jun-21,54.43,56.47,52.29,55.1,55.1,"32,800,800"
21-Jun-21,54.24,54.6,49.25,50.09,50.09,"20,480,800"
18-Jun-21,55.04,55.87,53.25,53.46,53.46,"17,281,200"
17-Jun-21,56,58.42,55.37,55.9,55.9,"18,434,400"
16-Jun-21,53.81,57.18,52.25,55.74,55.74,"22,259,200"
15-Jun-21,56.59,57.31,52,55.63,55.63,"29,207,600"
14-Jun-21,59.13,59.5,54.8,57.36,57.36,"28,530,400"
11-Jun-21,55.59,60.28,51.53,58.33,58.33,"62,323,200"
10-Jun-21,70.5,72,52.75,55.1,55.1,"91,920,800"
9-Jun-21,75.78,82,72.88,75.64,75.64,"53,717,200"
8-Jun-21,73,86.17,70.25,75,75,"69,756,400"
7-Jun-21,64.5,70.5,63.8,70,70,"24,206,000"
4-Jun-21,64,66.25,61.44,62.09,62.09,"14,550,000"
3-Jun-21,66.43,68.61,60.53,64.54,64.54,"32,000,000"
2-Jun-21,62.22,73.5,61.08,70.56,70.56,"64,076,800"
1-Jun-21,58.37,63.74,56.77,62.26,62.26,"38,502,400"
28-May-21,65.74,67.2,55.36,55.5,55.5,"47,005,600"
27-May-21,57.45,66,56.75,63.53,63.53,"62,105,200"
26-May-21,57.25,62.12,56.39,60.64,60.64,"84,479,600"
25-May-21,45.25,54.28,45.25,52.36,52.36,"59,550,000"
24-May-21,43.96,47.12,43.34,45,45,"18,657,200"
21-May-21,42.75,44.81,42.58,44.2,44.2,"14,618,800"
20-May-21,42.7,43.73,41.72,42.62,42.62,"9,912,800"
19-May-21,43,44.74,41.04,42.21,42.21,"19,303,600"
18-May-21,43.63,47.3,42.07,45.17,45.17,"30,954,800"
17-May-21,39.96,45.63,39.75,45.15,45.15,"29,848,400"
14-May-21,40,41.62,39.06,39.98,39.98,"17,174,000"
13-May-21,36.86,42.49,36.61,41.13,41.13,"35,494,000"
12-May-21,36.42,37.63,35.56,36.2,36.2,"10,926,000"
11-May-21,34.25,37.63,34.13,36.73,36.73,"18,738,400"
10-May-21,40.33,40.4,35.75,35.81,35.81,"19,226,800"
7-May-21,40.03,41.85,39.38,40.28,40.28,"11,738,400"
6-May-21,40.22,41.18,38.9,40.25,40.25,"11,771,200"
5-May-21,40.46,41.38,39.58,39.87,39.87,"11,221,600"
4-May-21,39.75,40.37,37.95,40.18,40.18,"16,030,000"
3-May-21,44.37,44.37,39.9,40.55,40.55,"21,044,000"
30-Apr-21,43.75,45.95,43.17,43.4,43.4,"17,734,400"
29-Apr-21,44.14,45.22,42.69,44.05,44.05,"15,041,200"
28-Apr-21,43.03,45.49,41.51,44.65,44.65,"23,155,600"
27-Apr-21,45.89,47,43.29,44.44,44.44,"35,730,800"
26-Apr-21,37.74,43.67,37.19,42.23,42.23,"42,128,400"
23-Apr-21,37.25,38.42,36.17,37.79,37.79,"16,116,400"
22-Apr-21,39.78,39.78,36.72,37.79,37.79,"17,383,200"
