Date,Open,High,Low,Close ,Adj Close ,Volume
12-Aug-21,56.73,56.98,56.73,56.84,51.15,"6,169,200"
11-Aug-21,56.89,57.18,56.71,56.73,51.05,"8,370,700"
10-Aug-21,56.84,57.17,56.66,56.8,51.11,"10,906,900"
9-Aug-21,56.8,56.88,56.43,56.65,50.98,"8,859,900"
6-Aug-21,56.6,56.74,56.44,56.64,50.97,"10,409,300"
5-Aug-21,56.44,56.59,56.29,56.5,50.84,"9,806,800"
4-Aug-21,56.75,56.95,56.01,56.1,50.48,"11,888,400"
3-Aug-21,57,57,56.75,56.92,51.22,"8,825,500"
2-Aug-21,57.2,57.24,56.71,56.88,51.18,"9,778,000"
30-Jul-21,57.15,57.25,56.9,57.03,51.32,"11,727,000"
29-Jul-21,57.07,57.25,56.86,57.05,51.34,"9,599,100"
28-Jul-21,56.99,57.16,56.63,56.74,51.06,"9,858,000"
27-Jul-21,57.11,57.54,56.92,57.26,51.52,"12,794,400"
26-Jul-21,56.89,57.12,56.56,57.06,51.34,"8,681,100"
23-Jul-21,56.59,57.33,56.45,57.01,51.3,"12,144,000"
22-Jul-21,56.62,56.74,56.05,56.47,50.81,"13,402,700"
21-Jul-21,57.33,57.56,56.43,56.55,50.89,"20,918,200"
20-Jul-21,55.73,56.33,55.52,55.83,50.24,"16,257,900"
19-Jul-21,56.08,56.35,55.16,55.73,50.15,"19,527,000"
16-Jul-21,56.46,56.68,56.26,56.4,50.75,"14,860,500"
15-Jul-21,56.24,56.47,55.91,56.44,50.79,"15,068,200"
14-Jul-21,55.02,56.35,54.96,56.26,50.62,"22,002,700"
13-Jul-21,54.95,55.3,54.75,55.02,49.51,"15,170,800"
12-Jul-21,54.32,54.6,54.27,54.48,49.02,"15,107,600"
9-Jul-21,54.25,54.52,54.18,54.46,49,"10,847,000"
8-Jul-21,54.01,54.17,53.74,54.13,48.71,"11,943,900"
7-Jul-21,53.72,54.38,53.72,54.32,48.88,"14,377,700"
6-Jul-21,53.99,54.09,53.55,53.88,48.48,"15,278,200"
2-Jul-21,54,54.45,54,54.18,48.75,"10,604,600"
1-Jul-21,54.34,54.48,53.86,53.96,48.55,"13,214,700"
30-Jun-21,53.8,54.18,53.75,54.11,48.69,"14,614,200"
29-Jun-21,54.13,54.34,53.72,53.86,48.47,"12,300,900"
28-Jun-21,54.25,54.37,54,54.26,48.82,"10,556,900"
25-Jun-21,54.24,54.47,54.01,54.32,48.88,"18,880,300"
24-Jun-21,54.26,54.42,54,54.39,48.94,"11,488,400"
23-Jun-21,54.56,54.6,54.11,54.12,48.7,"12,339,200"
