Date,Open,High,Low,Close ,Adj Close ,Volume
12-Aug-21,235.45,240.93,233.13,240.75,240.75,"52,377,300"
11-Aug-21,237.57,238.39,234.74,235.94,235.94,"29,401,800"
10-Aug-21,238,238.86,233.96,236.66,236.66,"40,296,900"
9-Aug-21,236.72,239.68,235.04,237.92,237.92,"44,145,900"
6-Aug-21,237.3,238.78,232.54,233.03,233.03,"46,869,000"
5-Aug-21,238.67,240.32,237.14,238.21,238.21,"38,758,800"
4-Aug-21,237,241.63,236.31,236.97,236.97,"51,007,800"
3-Aug-21,239.67,240.88,233.67,236.58,236.58,"64,860,900"
2-Aug-21,233.33,242.31,232.8,236.56,236.56,"100,847,400"
30-Jul-21,223.92,232.51,223,229.07,229.07,"88,969,200"
29-Jul-21,216.6,227.9,216.27,225.78,225.78,"91,183,800"
28-Jul-21,215.67,218.32,213.13,215.66,215.66,"48,019,800"
27-Jul-21,221.13,222.17,209.08,214.93,214.93,"98,439,900"
26-Jul-21,216.99,222.73,215.7,219.21,219.21,"76,009,800"
23-Jul-21,215.45,216.27,212.43,214.46,214.46,"43,814,700"
22-Jul-21,218.81,220.72,214.87,216.42,216.42,"45,317,100"
21-Jul-21,219.87,221.62,216.76,218.43,218.43,"41,859,900"
20-Jul-21,217.33,220.8,213.5,220.17,220.17,"46,461,300"
19-Jul-21,209.96,215.73,207.1,215.41,215.41,"63,891,300"
16-Jul-21,218.23,218.9,214.07,214.74,214.74,"49,113,000"
15-Jul-21,219.46,222.05,212.63,216.87,216.87,"60,628,800"
14-Jul-21,223.58,226.2,217.61,217.79,217.79,"64,923,600"
13-Jul-21,228.77,231.09,222.1,222.85,222.85,"62,898,300"
12-Jul-21,220.73,229.08,220.72,228.57,228.57,"77,781,000"
9-Jul-21,217.73,219.64,214.9,218.98,218.98,"54,421,500"
8-Jul-21,209.46,218.14,206.82,217.6,217.6,"68,319,900"
7-Jul-21,221.42,221.9,212.77,214.88,214.88,"56,376,000"
6-Jul-21,227.24,228,217.13,219.86,219.86,"69,853,500"
2-Jul-21,226.33,233.33,224.42,226.3,226.3,"81,163,500"
1-Jul-21,227.97,229.33,224.27,225.97,225.97,"55,903,500"
30-Jun-21,226.59,230.94,226.05,226.57,226.57,"56,774,700"
29-Jun-21,228.22,229.17,225.3,226.92,226.92,"52,143,900"
28-Jun-21,223.88,231.57,223.44,229.57,229.57,"64,884,600"
25-Jun-21,229.86,231.27,222.9,223.96,223.96,"97,490,100"
24-Jun-21,225,232.54,222.54,226.61,226.61,"137,947,200"
23-Jun-21,210.67,219.07,210.01,218.86,218.86,"93,297,600"
22-Jun-21,206.08,209.52,205.17,207.9,207.9,"57,476,700"
21-Jun-21,208.16,210.46,202.96,206.94,206.94,"74,438,100"
18-Jun-21,204.46,209.45,203.93,207.77,207.77,"73,682,700"
17-Jun-21,200.63,207.16,200.45,205.53,205.53,"68,104,200"
16-Jun-21,199.18,202.83,197.83,201.62,201.62,"66,432,300"
15-Jun-21,205.56,205.6,199.41,199.79,199.79,"53,292,300"
14-Jun-21,204.08,208.5,203.06,205.9,205.9,"61,272,000"
11-Jun-21,203.41,204.19,200.51,203.3,203.3,"48,615,900"
10-Jun-21,201.29,205.53,200.17,203.37,203.37,"71,758,800"
9-Jun-21,200.72,203.93,199.21,199.59,199.59,"49,753,800"
8-Jun-21,207.67,207.7,198.5,201.2,201.2,"78,160,200"
7-Jun-21,197.28,203.33,194.29,201.71,201.71,"67,631,100"
4-Jun-21,193.24,200.2,192.4,199.68,199.68,"72,110,700"
3-Jun-21,200.6,201.52,190.41,190.95,190.95,"90,335,700"
2-Jun-21,206.71,207.79,199.71,201.71,201.71,"69,908,400"
1-Jun-21,209.27,211.27,206.85,207.97,207.97,"54,254,700"
28-May-21,209.5,211.86,207.46,208.41,208.41,"68,211,000"
27-May-21,206.75,210.38,205.4,210.28,210.28,"79,111,800"
26-May-21,202.52,208.72,200.5,206.38,206.38,"85,917,900"
25-May-21,202.44,204.66,198.57,201.56,201.56,"84,017,700"
24-May-21,193.87,204.83,191.22,202.15,202.15,"103,674,300"
21-May-21,198.7,198.89,193.33,193.63,193.63,"78,091,800"
20-May-21,191.67,196.28,190.36,195.59,195.59,"92,463,300"
19-May-21,184.18,188.74,182.33,187.82,187.82,"118,735,200"
18-May-21,189.33,198.75,187.79,192.62,192.62,"110,491,800"
17-May-21,191.85,196.58,187.07,192.28,192.28,"97,171,200"
14-May-21,194.47,197.62,190.15,196.58,196.58,"100,112,700"
13-May-21,200.51,202.15,186.55,190.56,190.56,"132,554,700"
12-May-21,200.83,206.8,195.59,196.63,196.63,"101,470,800"
11-May-21,199.75,209.03,198.53,205.73,205.73,"139,511,700"
10-May-21,221.63,221.68,209.2,209.68,209.68,"94,177,200"
7-May-21,221.93,230,220.07,224.12,224.12,"70,407,600"
6-May-21,226.92,227.01,216.67,221.18,221.18,"83,353,800"
5-May-21,227.02,228.43,222.45,223.65,223.65,"65,705,700"
4-May-21,226.31,227.82,219.23,224.53,224.53,"89,217,900"
3-May-21,234.6,235.33,226.83,228.3,228.3,"81,129,300"
30-Apr-21,222.53,238.49,222.05,236.48,236.48,"122,276,100"
29-Apr-21,233.17,234.08,222.83,225.67,225.67,"86,536,200"
28-Apr-21,232.14,236.17,231.2,231.47,231.47,"66,813,000"
27-Apr-21,239.32,241.33,234.45,234.91,234.91,"88,311,000"
26-Apr-21,247,249.77,244.2,246.07,246.07,"93,115,500"
23-Apr-21,239.93,245.79,238.49,243.13,243.13,"85,110,000"
22-Apr-21,247.17,251.26,239.35,239.9,239.9,"106,770,900"
21-Apr-21,234.92,248.28,232.67,248.04,248.04,"93,646,500"
20-Apr-21,239.14,245.75,236.9,239.66,239.66,"106,827,000"
19-Apr-21,239.87,241.8,230.6,238.21,238.21,"119,058,600"
16-Apr-21,242.88,249.8,241.53,246.59,246.59,"83,938,500"
15-Apr-21,247.7,247.9,240.44,246.28,246.28,"83,546,700"
14-Apr-21,256.9,260.26,242.68,244.08,244.08,"147,052,200"
